SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,BHP.m,060623_BHP_BLANK,,
CAL0011,P1A1,BHP.m,060623_BHP_CAL0011,Calibration,L1
QN1123060613,P1B1,BHP.m,060623_BHP_QN1123060613,QC,QC1
QN1123060625,P1C1,BHP.m,060623_BHP_QN1123060625,QC,QC2
NEG0011,P1D1,BHP.m,060623_BHP_NEG0011,,
2306060963,P1A6,BHP.m,060623_BHP_2306060963,,
2306060964,P1A7,BHP.m,060623_BHP_2306060964,,
2306060955,P1A9,BHP.m,060623_BHP_2306060955,,
2306060943,P1A10,BHP.m,060623_BHP_2306060943,,
2306060935,P1B10,BHP.m,060623_BHP_2306060935,,
2306060979,P1C5,BHP.m,060623_BHP_2306060979,,
2306060977,P1D5,BHP.m,060623_BHP_2306060977,,
2306060961,P1D6,BHP.m,060623_BHP_2306060961,,
2306060942,P1D9,BHP.m,060623_BHP_2306060942,,
2306060974,P1E5,BHP.m,060623_BHP_2306060974,,
2306060966,P1E6,BHP.m,060623_BHP_2306060966,,
2306060957,P1E7,BHP.m,060623_BHP_2306060957,,
2306060937,P1E10,BHP.m,060623_BHP_2306060937,,
2306060972,P1F5,BHP.m,060623_BHP_2306060972,,
2306060959,P1F6,BHP.m,060623_BHP_2306060959,,
2306060938,P1F7,BHP.m,060623_BHP_2306060938,,
2306060962,P1F9,BHP.m,060623_BHP_2306060962,,
2306060980,P1F10,BHP.m,060623_BHP_2306060980,,
2306060971,P1G5,BHP.m,060623_BHP_2306060971,,
2306060976,P1G6,BHP.m,060623_BHP_2306060976,,
2306060960,P1G8,BHP.m,060623_BHP_2306060960,,
2306060958,P1G9,BHP.m,060623_BHP_2306060958,,
2306060983,P1G11,BHP.m,060623_BHP_2306060983,,
2306060967,P1H5,BHP.m,060623_BHP_2306060967,,
2306060969,P1H6,BHP.m,060623_BHP_2306060969,,
2306060956,P1H8,BHP.m,060623_BHP_2306060956,,
2306060954,P1H9,BHP.m,060623_BHP_2306060954,,
CAL0011POST,P1A1,BHP.m,060623_BHP_CAL0011POST,Calibration,L1
QN1123060613POST,P1B1,BHP.m,060623_BHP_QN1123060613POST,QC,QC1
QN1123060625POST,P1C1,BHP.m,060623_BHP_QN1123060625POST,QC,QC2
NEG0011POST,P1D1,BHP.m,060623_BHP_NEG0011POST,,
