SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,COMBINED.m,060623_COMBINED_BLANK,,
CAL0001,P1A1,COMBINED.m,060623_COMBINED_CAL0001,Calibration,L1
QN123060613,P1B1,COMBINED.m,060623_COMBINED_QN123060613,QC,QC1
QN123060625,P1C1,COMBINED.m,060623_COMBINED_QN123060625,QC,QC2
NEG0001,P1D1,COMBINED.m,060623_COMBINED_NEG0001,,
2306060049,P1A2,COMBINED.m,060623_COMBINED_2306060049,,
2306060105,P1A3,COMBINED.m,060623_COMBINED_2306060105,,
2306060085,P1A4,COMBINED.m,060623_COMBINED_2306060085,,
2306060128,P1A5,COMBINED.m,060623_COMBINED_2306060128,,
2306060073,P1A6,COMBINED.m,060623_COMBINED_2306060073,,
2306060037,P1A7,COMBINED.m,060623_COMBINED_2306060037,,
2306060010,P1A8,COMBINED.m,060623_COMBINED_2306060010,,
2306060140,P1A9,COMBINED.m,060623_COMBINED_2306060140,,
2306060084,P1A10,COMBINED.m,060623_COMBINED_2306060084,,
2306060032,P1A11,COMBINED.m,060623_COMBINED_2306060032,,
2306060129,P1A12,COMBINED.m,060623_COMBINED_2306060129,,
2306060058,P1B2,COMBINED.m,060623_COMBINED_2306060058,,
2306060111,P1B3,COMBINED.m,060623_COMBINED_2306060111,,
2306060076,P1B4,COMBINED.m,060623_COMBINED_2306060076,,
2306060119,P1B5,COMBINED.m,060623_COMBINED_2306060119,,
2306060070,P1B6,COMBINED.m,060623_COMBINED_2306060070,,
2306060031,P1B7,COMBINED.m,060623_COMBINED_2306060031,,
2306060006,P1B8,COMBINED.m,060623_COMBINED_2306060006,,
2306060137,P1B9,COMBINED.m,060623_COMBINED_2306060137,,
2306060078,P1B10,COMBINED.m,060623_COMBINED_2306060078,,
2306060028,P1B11,COMBINED.m,060623_COMBINED_2306060028,,
2306060125,P1B12,COMBINED.m,060623_COMBINED_2306060125,,
2306060066,P1C2,COMBINED.m,060623_COMBINED_2306060066,,
