SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,ETOH.m,060623_ETOH_BLANK,,
CAL0001,P1A1,ETOH.m,060623_ETOH_CAL0001,Calibration,L1
QN123060613,P1B1,ETOH.m,060623_ETOH_QN123060613,QC,QC1
QN123060625,P1C1,ETOH.m,060623_ETOH_QN123060625,QC,QC2
NEG0001,P1D1,ETOH.m,060623_ETOH_NEG0001,,
2306060105,P1A3,ETOH.m,060623_ETOH_2306060105,,
2306060085,P1A4,ETOH.m,060623_ETOH_2306060085,,
2306060128,P1A5,ETOH.m,060623_ETOH_2306060128,,
2306060073,P1A6,ETOH.m,060623_ETOH_2306060073,,
2306060037,P1A7,ETOH.m,060623_ETOH_2306060037,,
2306060010,P1A8,ETOH.m,060623_ETOH_2306060010,,
2306060140,P1A9,ETOH.m,060623_ETOH_2306060140,,
2306060084,P1A10,ETOH.m,060623_ETOH_2306060084,,
2306060032,P1A11,ETOH.m,060623_ETOH_2306060032,,
2306060129,P1A12,ETOH.m,060623_ETOH_2306060129,,
2306060058,P1B2,ETOH.m,060623_ETOH_2306060058,,
2306060111,P1B3,ETOH.m,060623_ETOH_2306060111,,
2306060076,P1B4,ETOH.m,060623_ETOH_2306060076,,
2306060119,P1B5,ETOH.m,060623_ETOH_2306060119,,
2306060070,P1B6,ETOH.m,060623_ETOH_2306060070,,
2306060031,P1B7,ETOH.m,060623_ETOH_2306060031,,
2306060006,P1B8,ETOH.m,060623_ETOH_2306060006,,
2306060137,P1B9,ETOH.m,060623_ETOH_2306060137,,
2306060078,P1B10,ETOH.m,060623_ETOH_2306060078,,
2306060028,P1B11,ETOH.m,060623_ETOH_2306060028,,
2306060118,P1C3,ETOH.m,060623_ETOH_2306060118,,
2306060069,P1C4,ETOH.m,060623_ETOH_2306060069,,
2306060114,P1C5,ETOH.m,060623_ETOH_2306060114,,
2306060065,P1C6,ETOH.m,060623_ETOH_2306060065,,
2306060029,P1C7,ETOH.m,060623_ETOH_2306060029,,
2306060121,P1C9,ETOH.m,060623_ETOH_2306060121,,
2306060064,P1C10,ETOH.m,060623_ETOH_2306060064,,
2306060022,P1C11,ETOH.m,060623_ETOH_2306060022,,
2306060115,P1C12,ETOH.m,060623_ETOH_2306060115,,
2306060075,P1D2,ETOH.m,060623_ETOH_2306060075,,
2306060059,P1D4,ETOH.m,060623_ETOH_2306060059,,
2306060107,P1D5,ETOH.m,060623_ETOH_2306060107,,
2306060061,P1D6,ETOH.m,060623_ETOH_2306060061,,
2306060026,P1D7,ETOH.m,060623_ETOH_2306060026,,
2306060067,P1D8,ETOH.m,060623_ETOH_2306060067,,
2306060113,P1D9,ETOH.m,060623_ETOH_2306060113,,
2306060060,P1D10,ETOH.m,060623_ETOH_2306060060,,
2306060018,P1D11,ETOH.m,060623_ETOH_2306060018,,
2306060109,P1D12,ETOH.m,060623_ETOH_2306060109,,
2306060083,P1E2,ETOH.m,060623_ETOH_2306060083,,
2306060050,P1E4,ETOH.m,060623_ETOH_2306060050,,
2306060104,P1E5,ETOH.m,060623_ETOH_2306060104,,
2306060057,P1E6,ETOH.m,060623_ETOH_2306060057,,
2306060024,P1E7,ETOH.m,060623_ETOH_2306060024,,
2306060063,P1E8,ETOH.m,060623_ETOH_2306060063,,
2306060108,P1E9,ETOH.m,060623_ETOH_2306060108,,
2306060056,P1E10,ETOH.m,060623_ETOH_2306060056,,
2306060014,P1E11,ETOH.m,060623_ETOH_2306060014,,
2306060015,P1F1,ETOH.m,060623_ETOH_2306060015,,
2306060090,P1F2,ETOH.m,060623_ETOH_2306060090,,
2306060127,P1F3,ETOH.m,060623_ETOH_2306060127,,
2306060098,P1F5,ETOH.m,060623_ETOH_2306060098,,
2306060053,P1F6,ETOH.m,060623_ETOH_2306060053,,
2306060021,P1F7,ETOH.m,060623_ETOH_2306060021,,
2306060034,P1F8,ETOH.m,060623_ETOH_2306060034,,
2306060100,P1F9,ETOH.m,060623_ETOH_2306060100,,
2306060052,P1F10,ETOH.m,060623_ETOH_2306060052,,
2306060008,P1F11,ETOH.m,060623_ETOH_2306060008,,
2306060145,P1F12,ETOH.m,060623_ETOH_2306060145,,
2306060097,P1G2,ETOH.m,060623_ETOH_2306060097,,
2306060117,P1G3,ETOH.m,060623_ETOH_2306060117,,
2306060087,P1G5,ETOH.m,060623_ETOH_2306060087,,
2306060047,P1G6,ETOH.m,060623_ETOH_2306060047,,
2306060017,P1G7,ETOH.m,060623_ETOH_2306060017,,
2306060040,P1G8,ETOH.m,060623_ETOH_2306060040,,
2306060096,P1G9,ETOH.m,060623_ETOH_2306060096,,
2306060045,P1G10,ETOH.m,060623_ETOH_2306060045,,
