SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,Functional Biomarker.m,060623_Functional Biomarker_BLANK,,
CAL0001A,P1A1,Functional Biomarker.m,060623_Functional Biomarker_CAL0001A,Calibration,L1
CAL0001B,P1A2,Functional Biomarker.m,060623_Functional Biomarker_CAL0001B,Calibration,L2
CAL0001C,P1A3,Functional Biomarker.m,060623_Functional Biomarker_CAL0001C,Calibration,L3
CAL0001D,P1A4,Functional Biomarker.m,060623_Functional Biomarker_CAL0001D,Calibration,L4
QFP123060605,P1A5,Functional Biomarker.m,060623_Functional Biomarker_QFP123060605,QC,QC1
QFP123060606,P1A6,Functional Biomarker.m,060623_Functional Biomarker_QFP123060606,QC,QC2
NEG0001,P1A7,Functional Biomarker.m,060623_Functional Biomarker_NEG0001,,
F2306060227,P1A8,Functional Biomarker.m,060623_Functional Biomarker_F2306060227,,
F2306060226,P1A9,Functional Biomarker.m,060623_Functional Biomarker_F2306060226,,
F2306060225,P1A10,Functional Biomarker.m,060623_Functional Biomarker_F2306060225,,
F2306060152,P1A11,Functional Biomarker.m,060623_Functional Biomarker_F2306060152,,
F2306060149,P1A12,Functional Biomarker.m,060623_Functional Biomarker_F2306060149,,
F2306060175,P1B1,Functional Biomarker.m,060623_Functional Biomarker_F2306060175,,
F2306060166,P1B2,Functional Biomarker.m,060623_Functional Biomarker_F2306060166,,
F2306050176,P1B3,Functional Biomarker.m,060623_Functional Biomarker_F2306050176,,
F2306060128,P1B4,Functional Biomarker.m,060623_Functional Biomarker_F2306060128,,
F2306060118,P1B5,Functional Biomarker.m,060623_Functional Biomarker_F2306060118,,
F2306060159,P1B6,Functional Biomarker.m,060623_Functional Biomarker_F2306060159,,
F2306060160,P1B7,Functional Biomarker.m,060623_Functional Biomarker_F2306060160,,
F2306060153,P1B8,Functional Biomarker.m,060623_Functional Biomarker_F2306060153,,
F2306060156,P1B9,Functional Biomarker.m,060623_Functional Biomarker_F2306060156,,
F2306060131,P1B10,Functional Biomarker.m,060623_Functional Biomarker_F2306060131,,
F2306060133,P1B11,Functional Biomarker.m,060623_Functional Biomarker_F2306060133,,
F2306060127,P1B12,Functional Biomarker.m,060623_Functional Biomarker_F2306060127,,
F2306060147,P1C1,Functional Biomarker.m,060623_Functional Biomarker_F2306060147,,
F2306060135,P1C2,Functional Biomarker.m,060623_Functional Biomarker_F2306060135,,
F2306060155,P1C3,Functional Biomarker.m,060623_Functional Biomarker_F2306060155,,
F2306060136,P1C4,Functional Biomarker.m,060623_Functional Biomarker_F2306060136,,
F2306060141,P1C5,Functional Biomarker.m,060623_Functional Biomarker_F2306060141,,
F2306060139,P1C6,Functional Biomarker.m,060623_Functional Biomarker_F2306060139,,
F2306060163,P1C7,Functional Biomarker.m,060623_Functional Biomarker_F2306060163,,
F2306060119,P1C8,Functional Biomarker.m,060623_Functional Biomarker_F2306060119,,
F2306060121,P1C9,Functional Biomarker.m,060623_Functional Biomarker_F2306060121,,
F2306060122,P1C10,Functional Biomarker.m,060623_Functional Biomarker_F2306060122,,
F2306060125,P1C11,Functional Biomarker.m,060623_Functional Biomarker_F2306060125,,
F2306060129,P1C12,Functional Biomarker.m,060623_Functional Biomarker_F2306060129,,
F2306060146,P1D1,Functional Biomarker.m,060623_Functional Biomarker_F2306060146,,
F2306060132,P1D2,Functional Biomarker.m,060623_Functional Biomarker_F2306060132,,
F2306060144,P1D3,Functional Biomarker.m,060623_Functional Biomarker_F2306060144,,
F2306060126,P1D4,Functional Biomarker.m,060623_Functional Biomarker_F2306060126,,
F2306060134,P1D5,Functional Biomarker.m,060623_Functional Biomarker_F2306060134,,
F2306060052,P1D6,Functional Biomarker.m,060623_Functional Biomarker_F2306060052,,
F2306060143,P1D7,Functional Biomarker.m,060623_Functional Biomarker_F2306060143,,
F2306060140,P1D8,Functional Biomarker.m,060623_Functional Biomarker_F2306060140,,
F2306060148,P1D9,Functional Biomarker.m,060623_Functional Biomarker_F2306060148,,
F2306060185,P1D10,Functional Biomarker.m,060623_Functional Biomarker_F2306060185,,
F2306060182,P1D11,Functional Biomarker.m,060623_Functional Biomarker_F2306060182,,
F2306060178,P1D12,Functional Biomarker.m,060623_Functional Biomarker_F2306060178,,
F2306060171,P1E1,Functional Biomarker.m,060623_Functional Biomarker_F2306060171,,
F2306060164,P1E2,Functional Biomarker.m,060623_Functional Biomarker_F2306060164,,
F2306060161,P1E3,Functional Biomarker.m,060623_Functional Biomarker_F2306060161,,
F2306060157,P1E4,Functional Biomarker.m,060623_Functional Biomarker_F2306060157,,
F2306060154,P1E5,Functional Biomarker.m,060623_Functional Biomarker_F2306060154,,
F2306060151,P1E6,Functional Biomarker.m,060623_Functional Biomarker_F2306060151,,
F2306060142,P1E7,Functional Biomarker.m,060623_Functional Biomarker_F2306060142,,
F2306060124,P1E8,Functional Biomarker.m,060623_Functional Biomarker_F2306060124,,
F2306060186,P1E9,Functional Biomarker.m,060623_Functional Biomarker_F2306060186,,
F2306060169,P1E10,Functional Biomarker.m,060623_Functional Biomarker_F2306060169,,
F2306060167,P1E11,Functional Biomarker.m,060623_Functional Biomarker_F2306060167,,
F2306060174,P1E12,Functional Biomarker.m,060623_Functional Biomarker_F2306060174,,
F2306060165,P1F1,Functional Biomarker.m,060623_Functional Biomarker_F2306060165,,
F2306060180,P1F2,Functional Biomarker.m,060623_Functional Biomarker_F2306060180,,
F2306060177,P1F3,Functional Biomarker.m,060623_Functional Biomarker_F2306060177,,
F2306060173,P1F4,Functional Biomarker.m,060623_Functional Biomarker_F2306060173,,
F2306060187,P1F5,Functional Biomarker.m,060623_Functional Biomarker_F2306060187,,
F2306060183,P1F6,Functional Biomarker.m,060623_Functional Biomarker_F2306060183,,
F2306060137,P1F7,Functional Biomarker.m,060623_Functional Biomarker_F2306060137,,
F2306060117,P1F8,Functional Biomarker.m,060623_Functional Biomarker_F2306060117,,
F2306060168,P1F9,Functional Biomarker.m,060623_Functional Biomarker_F2306060168,,
F2306060162,P1F10,Functional Biomarker.m,060623_Functional Biomarker_F2306060162,,
F2306060181,P1F11,Functional Biomarker.m,060623_Functional Biomarker_F2306060181,,
F2306060176,P1F12,Functional Biomarker.m,060623_Functional Biomarker_F2306060176,,
F2306060130,P1G1,Functional Biomarker.m,060623_Functional Biomarker_F2306060130,,
F2306060190,P1G2,Functional Biomarker.m,060623_Functional Biomarker_F2306060190,,
F2306060145,P1G3,Functional Biomarker.m,060623_Functional Biomarker_F2306060145,,
F2306060150,P1G4,Functional Biomarker.m,060623_Functional Biomarker_F2306060150,,
F2306060158,P1G5,Functional Biomarker.m,060623_Functional Biomarker_F2306060158,,
F2306060179,P1G6,Functional Biomarker.m,060623_Functional Biomarker_F2306060179,,
F2306060120,P1G7,Functional Biomarker.m,060623_Functional Biomarker_F2306060120,,
F2306060184,P1G8,Functional Biomarker.m,060623_Functional Biomarker_F2306060184,,
F2306060113,P1G9,Functional Biomarker.m,060623_Functional Biomarker_F2306060113,,
F2306060111,P1G10,Functional Biomarker.m,060623_Functional Biomarker_F2306060111,,
F2306060104,P1G11,Functional Biomarker.m,060623_Functional Biomarker_F2306060104,,
F2306060114,P1G12,Functional Biomarker.m,060623_Functional Biomarker_F2306060114,,
CAL0001APOST,P1A1,Functional Biomarker.m,060623_Functional Biomarker_CAL0001APOST,Calibration,L1
CAL0001BPOST,P1A2,Functional Biomarker.m,060623_Functional Biomarker_CAL0001BPOST,Calibration,L2
CAL0001CPOST,P1A3,Functional Biomarker.m,060623_Functional Biomarker_CAL0001CPOST,Calibration,L3
CAL0001DPOST,P1A4,Functional Biomarker.m,060623_Functional Biomarker_CAL0001DPOST,Calibration,L4
QFP123060605POST,P1A5,Functional Biomarker.m,060623_Functional Biomarker_QFP123060605POST,QC,QC1
QFP123060606POST,P1A6,Functional Biomarker.m,060623_Functional Biomarker_QFP123060606POST,QC,QC2
NEG0001POST,P1A7,Functional Biomarker.m,060623_Functional Biomarker_NEG0001POST,,
CAL0002A,P2A1,Functional Biomarker.m,060623_Functional Biomarker_CAL0002A,Calibration,L1
CAL0002B,P2A2,Functional Biomarker.m,060623_Functional Biomarker_CAL0002B,Calibration,L2
CAL0002C,P2A3,Functional Biomarker.m,060623_Functional Biomarker_CAL0002C,Calibration,L3
CAL0002D,P2A4,Functional Biomarker.m,060623_Functional Biomarker_CAL0002D,Calibration,L4
QFP223060605,P2A5,Functional Biomarker.m,060623_Functional Biomarker_QFP223060605,QC,QC1
QFP223060606,P2A6,Functional Biomarker.m,060623_Functional Biomarker_QFP223060606,QC,QC2
NEG0002,P2A7,Functional Biomarker.m,060623_Functional Biomarker_NEG0002,,
F2306050023,P2A8,Functional Biomarker.m,060623_Functional Biomarker_F2306050023,,
F2306050076,P2A9,Functional Biomarker.m,060623_Functional Biomarker_F2306050076,,
F2306050108,P2A10,Functional Biomarker.m,060623_Functional Biomarker_F2306050108,,
F2306050112,P2A11,Functional Biomarker.m,060623_Functional Biomarker_F2306050112,,
F2306050175,P2A12,Functional Biomarker.m,060623_Functional Biomarker_F2306050175,,
F2306050172,P2B1,Functional Biomarker.m,060623_Functional Biomarker_F2306050172,,
F2306050167,P2B2,Functional Biomarker.m,060623_Functional Biomarker_F2306050167,,
F2306060012,P2B3,Functional Biomarker.m,060623_Functional Biomarker_F2306060012,,
F2306060028,P2B4,Functional Biomarker.m,060623_Functional Biomarker_F2306060028,,
F2306060031,P2B5,Functional Biomarker.m,060623_Functional Biomarker_F2306060031,,
F2306060033,P2B6,Functional Biomarker.m,060623_Functional Biomarker_F2306060033,,
F2306060034,P2B7,Functional Biomarker.m,060623_Functional Biomarker_F2306060034,,
F2306060038,P2B8,Functional Biomarker.m,060623_Functional Biomarker_F2306060038,,
F2306060042,P2B9,Functional Biomarker.m,060623_Functional Biomarker_F2306060042,,
F2306060045,P2B10,Functional Biomarker.m,060623_Functional Biomarker_F2306060045,,
F2306060085,P2B11,Functional Biomarker.m,060623_Functional Biomarker_F2306060085,,
F2306060094,P2B12,Functional Biomarker.m,060623_Functional Biomarker_F2306060094,,
F2306060073,P2C1,Functional Biomarker.m,060623_Functional Biomarker_F2306060073,,
F2306060079,P2C2,Functional Biomarker.m,060623_Functional Biomarker_F2306060079,,
F2306060050,P2C3,Functional Biomarker.m,060623_Functional Biomarker_F2306060050,,
F2306060056,P2C4,Functional Biomarker.m,060623_Functional Biomarker_F2306060056,,
F2306060044,P2C5,Functional Biomarker.m,060623_Functional Biomarker_F2306060044,,
