SAMPLE NAME,SAMPLE POSITION,METHOD,DATA FILE,SAMPLE TYPE,LEVEL NAME
BLANK,VIAL1,Ultivo Tox.m,060623_Ultivo Tox_BLANK,,
CAL0001,P1A1,Ultivo Tox.m,060623_Ultivo Tox_CAL0001,Calibration,L1
QN123060613,P1B1,Ultivo Tox.m,060623_Ultivo Tox_QN123060613,QC,QC1
QN123060625,P1C1,Ultivo Tox.m,060623_Ultivo Tox_QN123060625,QC,QC2
NEG0001,P1D1,Ultivo Tox.m,060623_Ultivo Tox_NEG0001,,
2306060049,P1A2,Ultivo Tox.m,060623_Ultivo Tox_2306060049,,
2306060105,P1A3,Ultivo Tox.m,060623_Ultivo Tox_2306060105,,
2306060085,P1A4,Ultivo Tox.m,060623_Ultivo Tox_2306060085,,
2306060128,P1A5,Ultivo Tox.m,060623_Ultivo Tox_2306060128,,
2306060073,P1A6,Ultivo Tox.m,060623_Ultivo Tox_2306060073,,
2306060037,P1A7,Ultivo Tox.m,060623_Ultivo Tox_2306060037,,
2306060010,P1A8,Ultivo Tox.m,060623_Ultivo Tox_2306060010,,
2306060140,P1A9,Ultivo Tox.m,060623_Ultivo Tox_2306060140,,
2306060084,P1A10,Ultivo Tox.m,060623_Ultivo Tox_2306060084,,
2306060032,P1A11,Ultivo Tox.m,060623_Ultivo Tox_2306060032,,
2306060129,P1A12,Ultivo Tox.m,060623_Ultivo Tox_2306060129,,
2306060058,P1B2,Ultivo Tox.m,060623_Ultivo Tox_2306060058,,
2306060111,P1B3,Ultivo Tox.m,060623_Ultivo Tox_2306060111,,
2306060076,P1B4,Ultivo Tox.m,060623_Ultivo Tox_2306060076,,
2306060119,P1B5,Ultivo Tox.m,060623_Ultivo Tox_2306060119,,
2306060070,P1B6,Ultivo Tox.m,060623_Ultivo Tox_2306060070,,
2306060031,P1B7,Ultivo Tox.m,060623_Ultivo Tox_2306060031,,
2306060006,P1B8,Ultivo Tox.m,060623_Ultivo Tox_2306060006,,
2306060137,P1B9,Ultivo Tox.m,060623_Ultivo Tox_2306060137,,
2306060078,P1B10,Ultivo Tox.m,060623_Ultivo Tox_2306060078,,
2306060028,P1B11,Ultivo Tox.m,060623_Ultivo Tox_2306060028,,
2306060125,P1B12,Ultivo Tox.m,060623_Ultivo Tox_2306060125,,
2306060066,P1C2,Ultivo Tox.m,060623_Ultivo Tox_2306060066,,
2306060118,P1C3,Ultivo Tox.m,060623_Ultivo Tox_2306060118,,
2306060069,P1C4,Ultivo Tox.m,060623_Ultivo Tox_2306060069,,
2306060114,P1C5,Ultivo Tox.m,060623_Ultivo Tox_2306060114,,
2306060065,P1C6,Ultivo Tox.m,060623_Ultivo Tox_2306060065,,
2306060029,P1C7,Ultivo Tox.m,060623_Ultivo Tox_2306060029,,
2306060001,P1C8,Ultivo Tox.m,060623_Ultivo Tox_2306060001,,
2306060121,P1C9,Ultivo Tox.m,060623_Ultivo Tox_2306060121,,
2306060064,P1C10,Ultivo Tox.m,060623_Ultivo Tox_2306060064,,
2306060022,P1C11,Ultivo Tox.m,060623_Ultivo Tox_2306060022,,
2306060115,P1C12,Ultivo Tox.m,060623_Ultivo Tox_2306060115,,
2306060075,P1D2,Ultivo Tox.m,060623_Ultivo Tox_2306060075,,
2306060123,P1D3,Ultivo Tox.m,060623_Ultivo Tox_2306060123,,
2306060059,P1D4,Ultivo Tox.m,060623_Ultivo Tox_2306060059,,
2306060107,P1D5,Ultivo Tox.m,060623_Ultivo Tox_2306060107,,
2306060061,P1D6,Ultivo Tox.m,060623_Ultivo Tox_2306060061,,
2306060026,P1D7,Ultivo Tox.m,060623_Ultivo Tox_2306060026,,
2306060067,P1D8,Ultivo Tox.m,060623_Ultivo Tox_2306060067,,
2306060113,P1D9,Ultivo Tox.m,060623_Ultivo Tox_2306060113,,
2306060060,P1D10,Ultivo Tox.m,060623_Ultivo Tox_2306060060,,
2306060018,P1D11,Ultivo Tox.m,060623_Ultivo Tox_2306060018,,
2306060109,P1D12,Ultivo Tox.m,060623_Ultivo Tox_2306060109,,
2306060083,P1E2,Ultivo Tox.m,060623_Ultivo Tox_2306060083,,
2306060004,P1E3,Ultivo Tox.m,060623_Ultivo Tox_2306060004,,
2306060050,P1E4,Ultivo Tox.m,060623_Ultivo Tox_2306060050,,
2306060104,P1E5,Ultivo Tox.m,060623_Ultivo Tox_2306060104,,
2306060057,P1E6,Ultivo Tox.m,060623_Ultivo Tox_2306060057,,
2306060024,P1E7,Ultivo Tox.m,060623_Ultivo Tox_2306060024,,
2306060063,P1E8,Ultivo Tox.m,060623_Ultivo Tox_2306060063,,
2306060108,P1E9,Ultivo Tox.m,060623_Ultivo Tox_2306060108,,
2306060056,P1E10,Ultivo Tox.m,060623_Ultivo Tox_2306060056,,
2306060014,P1E11,Ultivo Tox.m,060623_Ultivo Tox_2306060014,,
2306060091,P1E12,Ultivo Tox.m,060623_Ultivo Tox_2306060091,,
2306060015,P1F1,Ultivo Tox.m,060623_Ultivo Tox_2306060015,,
2306060090,P1F2,Ultivo Tox.m,060623_Ultivo Tox_2306060090,,
2306060127,P1F3,Ultivo Tox.m,060623_Ultivo Tox_2306060127,,
2306060041,P1F4,Ultivo Tox.m,060623_Ultivo Tox_2306060041,,
2306060098,P1F5,Ultivo Tox.m,060623_Ultivo Tox_2306060098,,
2306060053,P1F6,Ultivo Tox.m,060623_Ultivo Tox_2306060053,,
2306060021,P1F7,Ultivo Tox.m,060623_Ultivo Tox_2306060021,,
